datetime,ask,bid
2012-02-07 09:30:00,197.5,197.0
2012-02-07 09:31:00,205.0,204.5
2012-02-07 09:32:00,202.5,202.0
2012-02-07 09:33:00,192.0,191.5
2012-02-07 09:34:00,190.5,190.0
2012-02-07 09:35:00,186.0,185.5
2012-02-07 09:36:00,184.5,184.0
2012-02-07 09:37:00,178.5,178.0
2012-02-07 09:38:00,177.0,176.5
2012-02-07 09:39:00,184.0,183.5
2012-02-07 09:40:00,181.5,181.0
2012-02-07 09:41:00,185.0,184.5
2012-02-07 09:42:00,190.5,190.0
2012-02-07 09:43:00,190.5,190.0
2012-02-07 09:44:00,187.0,186.5
2012-02-07 09:45:00,188.0,187.5
2012-02-07 09:46:00,194.5,194.0
2012-02-07 09:47:00,191.5,191.0
2012-02-07 09:48:00,190.5,190.0
2012-02-07 09:49:00,190.5,190.0
2012-02-07 09:50:00,190.0,189.5
2012-02-07 09:51:00,191.5,191.0
2012-02-07 09:52:00,189.0,188.5
2012-02-07 09:53:00,189.0,188.5
2012-02-07 09:54:00,192.0,191.5
2012-02-07 09:55:00,192.5,192.0
2012-02-07 09:56:00,192.5,192.0
2012-02-07 09:57:00,192.0,191.5
2012-02-07 09:58:00,188.5,188.0
2012-02-07 09:59:00,192.5,192.0
2012-02-07 10:00:00,197.5,197.0
2012-02-07 10:01:00,202.5,202.0
2012-02-07 10:02:00,202.0,201.5
2012-02-07 10:03:00,200.5,200.0
2012-02-07 10:04:00,200.0,199.5
2012-02-07 10:05:00,199.5,199.0
2012-02-07 10:06:00,204.0,203.5
2012-02-07 10:07:00,201.5,201.0
2012-02-07 10:08:00,200.0,199.5
2012-02-07 10:09:00,198.0,197.5
2012-02-07 10:10:00,205.0,204.5
2012-02-07 10:11:00,213.0,212.5
2012-02-07 10:12:00,214.0,213.5
2012-02-07 10:13:00,209.5,209.0
2012-02-07 10:14:00,205.5,205.0
2012-02-07 10:15:00,212.0,211.5
2012-02-07 10:16:00,216.5,216.0
2012-02-07 10:17:00,219.0,218.5
2012-02-07 10:18:00,213.0,212.5
2012-02-07 10:19:00,212.5,212.0
2012-02-07 10:20:00,207.5,207.0
2012-02-07 10:21:00,208.0,207.5
2012-02-07 10:22:00,206.5,206.0
2012-02-07 10:23:00,197.5,197.0
2012-02-07 10:24:00,197.0,196.5
2012-02-07 10:25:00,200.5,200.0
2012-02-07 10:26:00,198.5,198.0
2012-02-07 10:27:00,204.5,204.0
2012-02-07 10:28:00,202.5,202.0
2012-02-07 10:29:00,202.0,201.5
2012-02-07 10:30:00,203.5,203.0
2012-02-07 10:31:00,203.0,202.5
2012-02-07 10:32:00,203.0,202.5
2012-02-07 10:33:00,202.0,201.5
2012-02-07 10:34:00,200.0,199.5
2012-02-07 10:35:00,195.0,194.5
2012-02-07 10:36:00,197.5,197.0
2012-02-07 10:37:00,202.0,201.5
2012-02-07 10:38:00,200.5,200.0
2012-02-07 10:39:00,205.5,205.0
2012-02-07 10:40:00,207.5,207.0
2012-02-07 10:41:00,210.5,210.0
2012-02-07 10:42:00,209.5,209.0
2012-02-07 10:43:00,206.5,206.0
2012-02-07 10:44:00,202.5,202.0
2012-02-07 10:45:00,196.5,196.0
2012-02-07 10:46:00,188.0,187.5
2012-02-07 10:47:00,194.5,194.0
2012-02-07 10:48:00,191.0,190.5
2012-02-07 10:49:00,205.0,204.5
2012-02-07 10:50:00,203.0,202.5
2012-02-07 10:51:00,202.5,202.0
2012-02-07 10:52:00,202.5,202.0
2012-02-07 10:53:00,205.5,205.0
2012-02-07 10:54:00,210.5,210.0
2012-02-07 10:55:00,212.5,212.0
2012-02-07 10:56:00,205.0,204.5
2012-02-07 10:57:00,206.0,205.5
2012-02-07 10:58:00,205.5,205.0
2012-02-07 10:59:00,199.5,199.0
2012-02-07 11:00:00,202.5,202.0
2012-02-07 11:01:00,202.5,202.0
2012-02-07 11:02:00,195.0,194.5
2012-02-07 11:03:00,205.0,204.5
2012-02-07 11:04:00,208.0,207.5
2012-02-07 11:05:00,208.5,208.0
2012-02-07 11:06:00,217.0,216.5
2012-02-07 11:07:00,225.0,224.5
2012-02-07 11:08:00,225.5,225.0
2012-02-07 11:09:00,229.0,228.5
2012-02-07 11:10:00,234.0,233.5
2012-02-07 11:11:00,230.5,230.0
2012-02-07 11:12:00,235.0,234.5
2012-02-07 11:13:00,239.5,239.0
2012-02-07 11:14:00,234.5,234.0
2012-02-07 11:15:00,245.5,245.0
2012-02-07 11:16:00,243.5,243.0
2012-02-07 11:17:00,239.0,238.5
2012-02-07 11:18:00,239.5,239.0
2012-02-07 11:19:00,241.0,240.5
2012-02-07 11:20:00,236.0,235.5
2012-02-07 11:21:00,246.0,245.5
2012-02-07 11:22:00,248.0,247.5
2012-02-07 11:23:00,246.5,246.0
2012-02-07 11:24:00,247.5,247.0
2012-02-07 11:25:00,253.5,253.0
2012-02-07 11:26:00,250.0,249.5
2012-02-07 11:27:00,261.0,260.5
2012-02-07 11:28:00,259.5,259.0
2012-02-07 11:29:00,259.0,258.5
2012-02-07 11:30:00,254.5,254.0
2012-02-07 11:31:00,246.5,246.0
2012-02-07 11:32:00,241.5,241.0
2012-02-07 11:33:00,250.0,249.5
2012-02-07 11:34:00,251.0,250.5
2012-02-07 11:35:00,252.0,251.5
2012-02-07 11:36:00,249.5,249.0
2012-02-07 11:37:00,259.0,258.5
2012-02-07 11:38:00,261.5,261.0
2012-02-07 11:39:00,255.0,254.5
2012-02-07 11:40:00,250.0,249.5
2012-02-07 11:41:00,248.0,247.5
2012-02-07 11:42:00,248.5,248.0
2012-02-07 11:43:00,241.5,241.0
2012-02-07 11:44:00,248.5,248.0
2012-02-07 11:45:00,248.5,248.0
2012-02-07 11:46:00,251.5,251.0
2012-02-07 11:47:00,255.0,254.5
2012-02-07 11:48:00,256.0,255.5
2012-02-07 11:49:00,255.5,255.0
2012-02-07 11:50:00,257.5,257.0
2012-02-07 11:51:00,256.0,255.5
2012-02-07 11:52:00,266.0,265.5
2012-02-07 11:53:00,265.0,264.5
2012-02-07 11:54:00,269.5,269.0
2012-02-07 11:55:00,272.5,272.0
2012-02-07 11:56:00,276.5,276.0
2012-02-07 11:57:00,278.0,277.5
2012-02-07 11:58:00,279.5,279.0
2012-02-07 11:59:00,284.5,284.0
